*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 271    97  23.80  32.70  23.00  6.228  2.632  3.572  6.204  2.632  3.572  0.000  0.000  442.98  308.35  167.11  141.25    0.00    0.00   1.148   0.869   0.716   0.480   0.359   0.263
 2014 272    98  24.10  34.60  25.80  6.428  2.718  3.686  6.404  2.718  3.686  0.000  0.000  449.41  314.76  169.83  144.93    0.00    0.00   1.136   0.877   0.747   0.523   0.403   0.272
 2014 273    99  18.00  33.20  22.70  4.592  1.940  2.633  4.573  1.940  2.633  0.000  0.000  454.00  319.33  171.77  147.57    0.00    0.00   0.811   0.624   0.533   0.376   0.289   0.194
 2014 274   100  15.70  33.70  23.20  4.143  1.751  2.376  4.127  1.751  2.376  0.000  0.000  458.14  323.46  173.52  149.94    0.00    0.00   0.775   0.543   0.462   0.333   0.264   0.175
 2014 275   101  20.30  34.90  24.40  5.456  2.307  3.129  5.436  2.307  3.129  0.000  0.000  463.60  328.90  175.82  153.07    0.00    0.00   1.040   0.713   0.599   0.431   0.346   0.231
 2014 276   102  20.00  35.00  25.70  5.409  2.288  3.102  5.390  2.288  3.102  0.000  0.000  469.01  334.29  178.11  156.17    0.00    0.00   1.011   0.714   0.602   0.429   0.346   0.229
 2014 277   103  20.80  33.10  24.60  5.427  2.295  3.112  5.407  2.295  3.112  0.000  0.000  474.44  339.69  180.41  159.29    0.00    0.00   0.973   0.729   0.619   0.439   0.353   0.229
 2014 278   104  17.30  33.50  25.70  4.527  1.914  2.596  4.510  1.914  2.596  0.000  0.000  478.96  344.20  182.32  161.88    0.00    0.00   0.861   0.598   0.501   0.355   0.281   0.191
 2014 279   105  21.90  35.50  26.50  6.135  2.596  3.518  6.114  2.596  3.518  0.000  0.000  485.10  350.32  184.92  165.40    0.00    0.00   1.245   0.800   0.655   0.458   0.360   0.260
 2014 280   106  17.60  35.80  27.50  5.031  2.129  2.885  5.014  2.129  2.885  0.000  0.000  490.13  355.33  187.05  168.28    0.00    0.00   0.940   0.676   0.566   0.395   0.308   0.213
 2014 281   107  25.10  35.00  24.90  6.655  2.815  3.816  4.183  2.815  1.369  0.000  0.000  496.78  359.51  189.86  169.65    0.00    0.00   1.154   0.146   0.044   0.016   0.008   0.281
 2014 282   108  25.40  36.10  25.80  7.128  3.016  4.088  4.253  3.016  1.237  0.000  0.000  503.91  363.77  192.88  170.89    0.00    0.00   1.028   0.142   0.043   0.016   0.008   0.302
 2014 283   109  23.10  35.60  25.70  6.256  2.647  3.587  3.762  2.647  1.115  0.000  0.000  510.17  367.53  195.52  172.01    0.00    0.00   0.912   0.138   0.042   0.016   0.008   0.265
 2014 284   110  15.90  32.90  26.90  4.083  1.727  2.341  2.734  1.727  1.008  0.000  0.000  514.25  370.26  197.25  173.01    0.00    0.00   0.809   0.134   0.041   0.015   0.008   0.173
 2014 285   111  12.70  31.80  26.00  3.186  1.347  1.827  2.264  1.347  0.917  0.000  0.000  517.44  372.53  198.60  173.93    0.00    0.00   0.723   0.132   0.040   0.015   0.008   0.135
 2014 286   112  20.50  37.10  23.90  5.826  2.464  3.341  3.427  2.464  0.963  0.000  0.000  523.26  375.95  201.06  174.89    0.00    0.00   0.771   0.129   0.040   0.015   0.008   0.246
 2014 287   113  23.50  35.70  23.90  6.276  2.654  3.599  3.648  2.654  0.994  0.000  0.000  529.54  379.60  203.72  175.89    0.00    0.00   0.807   0.126   0.039   0.015   0.007   0.265
 2014 288   114  24.90  36.40  26.30  6.966  2.947  3.995  3.843  2.947  0.896  0.000  0.000  536.51  383.45  206.66  176.78    0.00    0.00   0.714   0.122   0.038   0.015   0.007   0.295
